Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
507;expert;Kritanjali Jain;2020;0;0;3;23
508;expert;vad13irt;2021;0;0;3;23
509;expert;T.J. Kyner;2021;0;0;4;23
510;expert;AngadChau;2021;0;0;3;23
511;expert;Dhinahar P;2021;0;0;3;23
512;expert;Johannes Hötter;2021;0;0;3;23
513;expert;Aslan Ahmedov;2021;0;0;3;23
514;expert;Eu Jin Lok;2011;0;1;2;22
515;expert;LPLenka;2017;0;1;3;22
516;expert;Adnan Zaidi;2018;0;2;1;22
517;expert;stpete_ishii;2019;0;0;3;22
518;expert;KAZI SHAMIM SHAHAREAR ISLAM;2019;0;0;3;22
519;expert;Ishan Kotian;2019;0;0;3;22
520;expert;VIVEK;2020;0;0;3;22
521;expert;Aayush Kandpal;2020;0;0;5;22
522;expert;TEJA KUMAR;2020;0;0;3;22
523;expert;Kaito;2020;0;0;4;22
524;expert;Muhammad Shahid Mirza;2021;0;0;3;22
525;expert;Tasneem Abdul Rahim;2021;0;0;5;22
526;expert;Muhammad Imran Zaman;2021;0;0;4;22
527;expert;Prathik Mohan;2021;0;0;3;22
528;expert;Yotoro;2021;0;0;3;22
529;expert;Levent Özdemir;2021;0;0;3;22
530;expert;Brandon Qilin Hung;2021;0;0;3;22
531;expert;Saurav Agarwal;2014;0;0;6;21
532;expert;Jeff Heaton;2014;0;0;4;21
533;expert;SkyLord;2015;0;0;3;21
534;expert;ryches;2017;0;2;3;21
535;expert;Mohammad Shahebaz;2017;0;0;4;21
536;expert;Saman Siadati;2018;0;2;1;21
537;expert;Hieu Phung;2018;0;0;4;21
538;expert;VIGNESH KUMAR.K;2018;0;0;3;21
539;expert;soham mukherjee;2019;0;0;7;21
540;expert;Ashwani Rathee;2020;0;1;2;21
541;expert;Mostafa Faramin;2020;0;0;3;21
542;expert;Jyot Makadiya;2020;0;0;4;21
543;expert;Vagif Aliyev;2020;0;0;4;21
544;expert;Mohsin Raza;2020;0;0;4;21
545;expert;Abu Bakar;2020;0;0;3;21
546;expert;Jen Wadkins;2021;0;0;4;21
547;expert;Diksha Bhati;2021;0;0;3;21
548;expert;Sameer Patel;2021;0;0;4;21
549;expert;Maximiliano Diaz Battan;2021;0;0;3;21
550;expert;Binary Joker;2021;0;0;4;21
